acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Marisa Abela,Jack O'Connell,Eddie Marsan",24 avril 2024,"Back to Black retrace la vie et la musique d'Amy Winehouse, à travers la création de l'un des albums les plus iconiques de notre temps, inspiré par son histoire d’amour passionnée et tourmentée avec Blake Fielder-Civil.",122,"Biopic,Drame,Musical,Romance",-, Grande-Bretagne,Tout public,Sam Taylor-Johnson,"2,7","3,5",Back To Black,
"Michel Serrault,Isabelle Adjani,Guy Marchand",9 mars 1983,"L'Oeil est un détective privé chargé d'enquêter sur une certaine Lucie Brentano, une aventurière qui fréquente un fils de bonne famille. Très vite, L'Oeil a la preuve que la jeune femme est une meurtrière, mais il ne la dénonce pas car il croit ou veut reconnaître en elle Marie, sa propre fille qu'il n'a pas revue depuis que sa femme l'a quitté, il y a vingt ans. Il se met donc à suivre la meurtrière à travers l'Europe.",120,"Drame,Thriller",-, France,,Claude Miller,"3,2",,Mortelle randonnée,
"Lilith Grasmug,Mermoz Melchior,François Revaclier",22 mai 2024,"Été 1900, au cœur d'une vallée du sud de la Suisse. Elisabeth, 17 ans, est sur le point de prononcer ses vœux après 5 ans passés au couvent. La mort soudaine de sa sœur l'oblige à retourner dans la ferme familiale pour assumer son nouveau rôle d'aînée. Elisabeth se retrouve vite asphyxiée par cette vie de labeur et obsédée par les mystères qui entourent la disparition de sa sœur. Elle va alors chercher à s'affranchir de son statut et de ses nouveaux engagements.",92,Drame,-, Suisse,Tout public,Carmen Jaquier,"3,7","2,9",Foudre,
"Ryan Gosling,Rachel McAdams,James Garner",8 septembre 2004,"Atteinte de la maladie d'Alzheimer, Allie vit en maison de retraite. Chaque jour, Noah lui lit le même livre. Il s'agit du carnet où Allie a consigné sa propre histoire, lorsqu'elle a appris sa maladie. Pour ne pas oublier ses sentiments, elle a écrit, et Noah, inlassablement, lui relit ses propres mots.",121,"Drame,Romance",-, U.S.A.,,Nick Cassavetes,"2,6","4,2",N'oublie jamais,The Notebook
"Nicole Wallace,Gabriel Guevara,Marta Hazas",8 juin 2023,"Noah doit quitter sa ville, son petit ami et ses amis pour emménager dans le manoir de William Leister, le nouveau et riche mari de sa mère. Âgée de dix-sept ans, fière et indépendante, Noah rencontre Nick, son nouveau demi-frère, et leurs fortes personnalités s’entrechoquent dès le début. Noah découvre bientôt que derrière l'image d'un fils modèle, Nick cache une vie de bagarre, de jeu et de courses automobiles illégales. Malgré l'abîme qui les sépare, tous deux commencent à ressentir une attirance irrésistible qui se transformera bientôt en feu et en folle passion. Ni la rivalité permanente, ni l'opposition de leur entourage ne peuvent les empêcher de tomber secrètement et follement amoureux. Mais le présent turbulent de Nick et le passé orageux de Noah mettront à l'épreuve leur vie et leur amour interdit.",117,"Drame,Romance",-, Espagne,,Domingo González,"3,6",,À contre-sens,Culpa mía
"Romain Duris,Paul Kircher,Adèle Exarchopoulos",4 octobre 2023,"Dans un monde en proie à une vague de mutations qui transforment peu à peu certains humains en animaux, François fait tout pour sauver sa femme, touchée par ce phénomène mystérieux. Alors que la région se peuple de créatures d'un nouveau genre, il embarque Émile, leur fils de 16 ans, dans une quête qui bouleversera à jamais leur existence.",130,"Aventure,Drame,Fantastique",-, France,"Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Thomas Cailley,"4,3","3,9",Le Règne animal,
"Franck Dubosc,Karin Viard,Clotilde Courau",27 septembre 2023,"Amoureux de Diane comme au premier jour, Alain traverse la cinquantaine sans crise. Même le départ des enfants, il l’a bien vécu. Diane moins.… Cette période, elle l’entame avec la sensation qu’elle pourrait mourir d’ennui ou d’angoisse. Pour Alain, qui voit pour la première fois son couple vaciller, il est temps de se poser les questions essentielles, et de prendre un risque majeur après 30 ans de vie commune : quitter Diane pour réveiller la flamme et l’envie de se retrouver. Nouveau Départ, c’est l’histoire d’une histoire d’amour à quitte ou double.",97,"Comédie,Romance",-, France,,Philippe Lefebvre,"3,3","3,2",Nouveau départ,
"Eric Judor,Célia Rosich,Michel Nabokov",10 mai 2017,"Jeanne et Victor sont deux jeunes Parisiens de retour de vacances. En chemin, ils font une halte pour saluer leur ami Jean-Paul, sur la prairie où sa communauté a élu résidence. Le groupe lutte contre la construction d’un parc aquatique sur la dernière zone humide de la région, et plus généralement contre la société moderne, la grande Babylone. Séduits par une communauté qui prône le « vivre autrement », où l’individualisme, la technologie et les distinctions de genre sont abolis, Jeanne et Victor acceptent l’invitation qui leur est faite de rester quelques jours. Lorsqu’un beau matin la barrière de CRS qui leur fait face a disparu…la Communauté pense l’avoir emporté sur le monde moderne. Mais le plaisir est de courte durée…à l’exception de leur campement, la population terrestre a été décimée par une terrible pandémie. Ce qui fait du groupe les derniers survivants du monde. Va-t-il falloir se trouver de nouveaux ennemis pour survivre ?",85,Comédie,-, France,,Eric Judor,"3,3","2,8",Problemos,
"Georgina Campbell,Bill Skarsgård,Justin Long",26 octobre 2022,"Se rendant à Détroit pour un entretien d'embauche, Tess se retrouve à louer un « Airbnb » le temps de son séjour. Mais lorsqu'elle arrive tard dans la nuit, elle découvre que la demeure est déjà occupée et qu’un homme étrange du nom de Keith y séjourne déjà... Malgré la gêne, elle décide résignée d'y passer la nuit, les hôtels des environs étant complets. Mais réveillée dans son sommeil par des sons mystérieux, Tess va s’embarquer malgré elle dans une série de découvertes terrifiantes...",103,"Epouvante-horreur,Thriller",-, U.S.A.,,Zach Cregger,"4,2","3,3",Barbare,Barbarian
"Élodie Bouchez,Adèle Exarchopoulos,Leïla Bekhti",29 mars 2023,"Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.",118,Drame,-, France,,Jeanne Herry,"4,1","4,4",Je verrai toujours vos visages,
